date,week_day,is_night_sleep,start_time,end_time,duration_min,minutes_asleep,minutes_awake,efficiency,deep_minutes,light_minutes,rem_minutes,overall_score,resting_heart_rate
2025-04-16,Wednesday,True,2025-04-16T02:21:30.000,2025-04-16T10:38:30.000,497,417,80,0.84,50,282,84,75.0,58.0
2025-04-17,Thursday,True,2025-04-17T02:17:30.000,2025-04-17T10:53:30.000,516,451,65,0.87,64,310,76,80.0,54.0
2025-04-18,Friday,True,2025-04-18T03:34:00.000,2025-04-18T12:53:30.000,557,475,82,0.85,58,320,99,73.0,53.0
2025-04-19,Saturday,True,2025-04-19T02:39:30.000,2025-04-19T10:32:30.000,472,421,51,0.89,59,263,99,84.0,55.0
2025-04-20,Sunday,True,2025-04-20T03:15:00.000,2025-04-20T11:35:30.000,500,442,58,0.88,95,271,76,76.0,54.0
2025-04-21,Monday,True,2025-04-21T02:26:00.000,2025-04-21T10:27:30.000,481,429,52,0.89,51,296,81,83.0,56.0
2025-04-22,Tuesday,True,2025-04-22T01:56:00.000,2025-04-22T09:19:30.000,443,385,58,0.87,97,220,67,76.0,53.0
2025-04-23,Wednesday,True,2025-04-23T01:50:00.000,2025-04-23T09:14:30.000,444,397,47,0.89,75,232,89,82.0,53.0
2025-04-24,Thursday,False,2025-04-24T19:47:30.000,2025-04-24T21:15:30.000,85,77,8,0.91,0,0,0,,52.0
2025-04-24,Thursday,True,2025-04-24T03:18:00.000,2025-04-24T09:34:00.000,376,336,40,0.89,40,231,64,70.0,52.0
2025-04-25,Friday,True,2025-04-25T03:47:30.000,2025-04-25T12:34:30.000,527,414,113,0.79,97,211,106,67.0,53.0
2025-04-26,Saturday,True,2025-04-26T03:00:00.000,2025-04-26T12:13:30.000,553,456,97,0.82,56,310,90,76.0,53.0
2025-04-27,Sunday,True,2025-04-27T02:13:30.000,2025-04-27T12:24:30.000,611,540,71,0.88,46,367,126,88.0,54.0
2025-04-28,Monday,True,2025-04-28T04:13:30.000,2025-04-28T08:48:00.000,274,242,32,0.88,41,156,44,70.0,53.0
2025-04-29,Tuesday,True,2025-04-29T01:50:30.000,2025-04-29T08:51:30.000,421,365,56,0.87,66,215,84,79.0,52.0
2025-04-30,Wednesday,True,2025-04-29T23:37:30.000,2025-04-30T06:51:30.000,432,381,51,0.88,74,237,72,78.0,50.0
2025-05-01,Thursday,True,2025-05-01T01:27:00.000,2025-05-01T10:29:30.000,542,464,78,0.86,77,300,87,82.0,49.0
2025-05-02,Friday,True,2025-05-02T02:25:00.000,2025-05-02T09:53:30.000,448,407,41,0.91,58,256,93,78.0,50.0
2025-05-03,Saturday,True,2025-05-03T03:09:00.000,2025-05-03T11:20:00.000,491,429,62,0.87,92,247,90,76.0,52.0
2025-05-04,Sunday,True,2025-05-04T02:06:30.000,2025-05-04T11:54:30.000,588,484,104,0.82,90,296,98,80.0,54.0
2025-05-05,Monday,True,2025-05-05T02:05:30.000,2025-05-05T10:20:30.000,495,437,58,0.88,44,302,90,82.0,54.0
2025-05-06,Tuesday,True,2025-05-06T01:08:00.000,2025-05-06T08:58:00.000,470,429,41,0.91,86,278,64,82.0,54.0
2025-05-07,Wednesday,True,2025-05-07T01:44:30.000,2025-05-07T09:58:30.000,494,442,52,0.89,55,286,100,78.0,53.0
2025-05-08,Thursday,True,2025-05-08T00:54:00.000,2025-05-08T09:44:30.000,530,444,86,0.84,83,269,92,72.0,55.0
2025-05-14,Wednesday,True,2025-05-14T00:53:00.000,2025-05-14T06:59:00.000,366,330,36,0.9,66,215,48,72.0,55.0
2025-05-15,Thursday,True,2025-05-15T00:58:00.000,2025-05-15T08:58:30.000,479,426,53,0.89,108,216,103,88.0,57.0
2025-05-16,Friday,True,2025-05-16T04:30:00.000,2025-05-16T12:01:30.000,451,369,82,0.82,54,247,68,63.0,56.0
2025-05-17,Saturday,True,2025-05-16T23:20:30.000,2025-05-17T04:35:00.000,314,284,30,0.9,26,205,52,72.0,57.0
2025-05-17,Saturday,False,2025-05-17T11:56:00.000,2025-05-17T13:38:00.000,102,94,8,0.92,0,0,0,,57.0
2025-05-18,Sunday,True,2025-05-18T01:25:30.000,2025-05-18T10:05:00.000,519,468,51,0.9,67,271,130,90.0,58.0
2025-05-19,Monday,True,2025-05-19T00:24:00.000,2025-05-19T09:40:00.000,556,485,71,0.87,64,289,130,88.0,56.0
2025-05-20,Tuesday,True,2025-05-20T01:10:00.000,2025-05-20T09:55:30.000,525,478,47,0.91,98,295,84,89.0,56.0
2025-05-21,Wednesday,True,2025-05-21T01:22:00.000,2025-05-21T08:59:30.000,457,413,44,0.9,63,243,107,80.0,55.0
2025-05-22,Thursday,True,2025-05-21T23:40:00.000,2025-05-22T08:42:00.000,542,482,60,0.89,53,316,112,88.0,57.0
2025-05-23,Friday,True,2025-05-23T02:03:30.000,2025-05-23T08:55:00.000,411,371,40,0.9,77,216,78,82.0,57.0
